#{"t_start": 1620074777.0286274, "env_id": null}
r,l,t
1514.977295,30,35.909574
49.97876,30,35.99206
1296.560547,30,36.074698
1105.324219,30,36.152622
-71.112915,30,36.943406
1199.785034,30,37.004415
1162.993408,30,37.06593
798.463379,30,37.12697
-73.071289,30,37.189437
494.542969,30,37.250177
-931.237061,30,37.312938
-283.145996,30,37.3887
1993.03418,30,37.46465
-292.602783,30,37.542007
676.508301,30,37.616927
1.307373,30,37.681287
1633.349365,30,37.742698
1103.760498,30,37.804962
-139.815552,30,37.881665
1721.162598,30,37.944833
1525.705322,30,38.00694
1987.912598,30,38.069156
1156.448242,30,38.131657
328.303467,30,38.193608
-909.01709,30,38.256995
1378.240356,30,38.319883
651.878174,30,38.385885
37.091797,30,38.448415
135.05188,30,38.513167
-666.56897,30,38.589781
1511.349609,30,38.674134
587.473633,30,38.755478
303.108398,30,38.839092
2149.753418,30,38.92189
2363.094727,30,38.999673
-60.725586,30,39.079145
-1045.182861,30,39.157134
1623.578369,30,39.231045
-103.270264,30,39.306556
-240.37793,30,39.388964
-1531.468994,30,39.463806
-280.67334,30,39.524568
-155.28418,30,39.603265
776.077026,30,1729.698663
502.050171,30,1729.759889
521.999756,30,1729.819516
-167.32666,30,1729.878757
443.224365,30,1729.940846
632.566406,30,1730.008015
812.579102,30,1730.089697
1101.110229,30,1730.171675
484.169434,30,1730.24246
-308.335449,30,1730.334445
-944.92627,30,1730.422889
181.80835,30,1730.531158
279.626465,30,1730.626523
1691.630859,30,1730.725086
404.949219,30,1730.813764
1935.822266,30,1730.925868
539.953857,30,1731.042787
1680.21582,30,1731.20015
96.779053,30,1731.351775
2597.798706,30,1731.482791
706.2229,30,1731.610509
4675.612793,30,1731.721026
982.036743,30,1731.824035
1114.496094,30,1731.951563
309.902344,30,1732.080842
1207.22876,30,1732.179993
307.757324,30,1732.279321
-480.63501,30,1732.380648
725.195068,30,1732.485259
1070.16748,30,1732.584284
-536.693848,30,1732.683899
835.384766,30,1732.790206
1364.366211,30,1732.891465
790.130371,30,1732.990142
-469.319824,30,1733.083929
629.173828,30,1733.180624
1600.625488,30,1733.272909
125.935303,30,1733.360808
-200.861816,30,1733.459881
838.011475,30,1733.559364
133.937988,30,1733.66626
1807.40332,30,1733.789426
-38.355469,30,1733.9001
-54.946289,30,1734.008199
